hours,age,internet,marks
6.84,15,0,78.64
6.56,20,1,88.8
,21,1,88.9
8.67,22,1,98.99
7.55,17,1,92.34
8.8,16,0,50.3
8.76,24,0,43.45
7.44,25,0,77.74
1.23,21,1,75.76
4.24,16,0,66.67
3.85,15,1,78.88
6.4,17,0,53.34
4,16,1,55.9
6.8,18,0,66.67
6.2,18,1,78.88
1.7,20,1,53.34
0.5,21,1,55.9
5.34,22,1,82.78
5.67,23,0,75.99
4.8,24,0,78.64
2.99,25,1,88.8
6.55,21,0,88.9
9.33,16,1,98.99
4.44,18,0,92.34
2.22,24,1,50.3
1.11,25,0,43.45
8.01,15,1,77.74
9.99,20,1,75.76
3,21,1,66.67
6.84,22,1,78.88
6.56,17,0,53.34
,16,0,55.9
8.67,24,0,92.34
7.55,25,1,50.3
8.8,21,0,43.45
8.76,16,1,77.74
7.44,18,0,75.76
1.23,24,1,66.67
4.24,25,0,78.88
3.85,15,1,53.34
6.4,20,1,55.9
4,21,1,82.78
6.8,22,1,75.99
6.2,17,0,78.64
1.7,16,0,88.8
0.5,24,1,88.9
5.34,25,0,98.99
5.67,21,1,92.34
4.8,16,0,50.3
2.99,18,0,43.45
6.55,24,1,77.74
9.33,25,1,75.76
4.44,19,1,66.67
6.84,20,1,78.88
6.56,15,0,53.34
,20,0,55.9
8.67,21,0,78.64
7.55,22,1,88.8
8.8,17,0,88.9
8.76,16,1,98.99
7.44,24,0,92.34
1.23,25,1,50.3
4.24,21,0,43.45
3.85,16,1,77.74
6.4,18,1,75.76
4,24,1,66.67
6.8,25,1,78.88
6.2,15,0,53.34
1.7,20,0,55.9
0.5,21,1,82.78
5.34,22,0,75.99
5.67,17,1,78.64
4.8,16,0,88.8
2.99,24,1,88.9
6.55,25,0,98.99
9.33,21,1,92.34
4.44,16,1,50.3
2.22,18,1,43.45
1.11,24,1,77.74
8.01,25,0,75.76
9.99,15,0,66.67
3,20,0,78.88
6.84,21,1,53.34
6.56,22,0,55.9
,17,1,78.64
8.67,16,0,88.8
7.55,24,1,88.9
8.8,25,0,98.99
8.76,21,1,92.34
7.44,16,1,50.3
1.23,18,1,43.45
4.24,24,1,77.74
3.85,25,0,75.76
6.4,15,0,66.67
4,20,1,78.88
6.8,21,0,53.34
6.2,22,1,55.9
1.7,17,0,82.78
0.5,16,0,75.99
5.34,24,1,78.64
5.67,25,1,88.8
6.84,21,1,88.9
6.56,16,1,98.99
,18,0,92.34
8.67,24,0,50.3
7.55,25,0,43.45
8.8,15,1,77.74
8.76,20,0,75.76
7.44,21,1,66.67
1.23,22,0,78.88
4.24,17,1,53.34
3.85,16,0,55.9
6.4,24,1,78.64
4,25,1,88.8
6.8,21,1,88.9
6.2,16,1,98.99
1.7,18,0,92.34
0.5,24,0,50.3
5.34,25,1,43.45
5.67,15,0,77.74
4.8,20,1,75.76
2.99,21,0,66.67
6.55,22,1,78.88
9.33,17,0,53.34
4.44,21,1,55.9
2.22,22,1,82.78
6.84,17,1,75.99
6.56,16,1,78.64
,24,0,88.8
8.67,25,0,88.9
7.55,21,0,98.99
8.8,16,1,92.34
8.76,18,0,50.3
7.44,24,1,43.45
1.23,25,0,77.74
4.24,20,1,75.76
3.85,21,0,66.67
9.33,22,1,78.88
4.44,17,1,53.34
2.22,16,1,55.9
1.11,24,1,78.64
8.01,25,0,88.8
9.99,21,0,88.9
3,16,1,98.99
5.67,18,0,92.34
4.8,24,1,50.3
2.99,25,0,43.45
6.55,15,1,77.74
0,20,1,75.76
6.84,15,0,78.64
6.56,20,1,88.8
,21,1,88.9
8.67,22,1,98.99
7.55,17,1,92.34
8.8,16,0,50.3
8.76,24,0,43.45
7.44,25,0,77.74
1.23,21,1,75.76
4.24,16,0,66.67
3.85,15,1,78.88
6.4,17,0,53.34
4,16,1,55.9
1.7,18,0,66.67
0.5,18,1,78.88
5.34,20,1,53.34
5.67,21,1,55.9
6.84,22,1,82.78
6.56,23,0,75.99
,24,0,78.64
8.67,25,1,88.8
7.55,21,0,88.9
8.8,16,1,98.99
8.76,18,0,92.34
7.44,24,1,50.3
1.23,25,0,43.45
4.24,15,0,77.74
3.85,20,1,75.76
6.4,21,0,66.67
4,22,1,78.88
6.8,17,1,53.34
6.2,16,1,55.9
1.7,24,1,92.34
0.5,25,0,50.3
5.34,21,0,43.45
5.67,16,1,77.74
4.8,18,0,75.76
2.99,24,1,66.67
6.55,25,0,78.88
9.33,15,0,53.34
4.44,20,1,55.9
4,21,1,82.78
6.8,22,1,75.99
6.2,17,1,78.64
1.7,16,0,88.8
0.5,24,0,88.9
5.34,25,0,98.99
5.67,21,1,92.34
4.8,16,0,50.3
2.99,16,1,43.45
6.55,15,0,77.74
9.33,17,1,75.76
4.44,16,1,66.67
6.84,18,1,78.88
6.56,18,0,53.34
,20,0,55.9
8.67,21,0,78.64
7.55,22,1,88.8
8.8,23,0,88.9
8.76,24,1,98.99
7.44,25,0,92.34
1.23,21,1,50.3
4.24,16,0,43.45
3.85,18,1,77.74
6.4,24,1,75.76
4,25,1,66.67
6.8,25,1,78.88
6.2,15,0,53.34
1.7,20,0,55.9
0.5,21,1,82.78
5.34,22,0,75.99
5.67,17,1,78.64
4.8,16,0,88.8
2.99,24,1,88.9
6.55,25,0,98.99
9.33,16,1,92.34
4.44,15,1,50.3
2.22,17,1,43.45
1.11,16,1,77.74
8.01,18,0,75.76
9.99,18,0,66.67
3,20,0,78.88
6.84,21,1,53.34
6.56,22,0,55.9
,23,1,78.64
8.67,24,0,88.8
7.55,25,1,88.9
8.8,21,0,98.99
8.76,16,1,92.34
7.44,18,1,50.3
1.23,24,1,43.45
4.24,25,1,77.74
3.85,25,0,75.76
6.4,15,0,66.67
4,20,1,78.88
6.8,21,0,53.34
6.2,22,1,55.9
1.7,17,0,82.78
0.5,16,0,75.99
5.34,24,1,78.64
5.67,25,1,88.8
6.84,21,1,88.9
6.56,16,1,98.99
,18,0,92.34
8.67,24,0,50.3
7.55,25,0,43.45
8.8,15,1,77.74
8.76,20,0,75.76
7.44,21,1,66.67
1.23,22,0,78.88
4.24,17,1,53.34
3.85,16,0,55.9
6.4,24,1,78.64
4,25,1,88.8
6.8,21,1,88.9
6.2,16,1,98.99
1.7,18,0,92.34
0.5,24,0,50.3
5.34,25,1,43.45
5.67,15,0,77.74
4.8,20,1,75.76
2.99,21,0,66.67
6.55,22,1,78.88
9.33,17,0,53.34
4.44,21,1,55.9
2.22,22,1,82.78
6.84,17,1,75.99
6.56,16,1,78.64
,24,0,88.8
8.67,25,0,88.9
7.55,21,0,98.99
8.8,16,1,92.34
8.76,18,0,50.3
7.44,24,1,43.45
1.23,25,0,77.74
4.24,20,1,75.76
3.85,21,0,66.67
9.33,22,1,78.88
4.44,17,1,53.34
2.22,16,1,55.9
1.11,24,1,78.64
8.01,25,0,88.8
9.99,21,0,88.9
3,16,1,98.99
5.67,18,0,92.34
4.8,24,1,50.3
2.99,25,0,43.45
6.55,15,1,77.74
0,20,1,75.76
9.9,22,0,99.99
3.4,21,0,99.99
