User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,12,19000,0
15810944,Male,11,20000,0
15668575,Female,1,43000,0
15603246,Female,27,57000,0
15804002,Male,10,76000,0
15728773,Male,1,58000,0
15598044,Female,1,84000,0
15694829,Female,7,150000,1
15600575,Male,5,33000,0
15727311,Female,8,65000,0
15570769,Female,9,80000,0
15606274,Female,4,52000,0
15746139,Male,1,86000,0
15704987,Male,5,18000,0
15628972,Male,1,82000,0
15697686,Male,2,80000,0
15733883,Male,4,25000,1
15617482,Male,6,26000,1
15704583,Male,4,28000,1
15621083,Female,1,29000,1
15649487,Male,3,22000,1
15736760,Female,1,49000,1
15714658,Male,1,41000,1
15599081,Female,1,22000,1
15705113,Male,2,23000,1
15631159,Male,1,20000,1
15792818,Male,4,28000,1
15633531,Female,1,30000,1
15744529,Male,4,43000,0
15669656,Male,1,18000,0
15581198,Male,4,74000,0
15729054,Female,51,137000,1
15573452,Female,4,16000,0
15776733,Female,1,44000,0
15724858,Male,4,90000,0
15713144,Male,1,27000,0
15690188,Female,4,28000,0
15689425,Male,1,49000,0
15671766,Female,7,72000,0
15782806,Female,1,31000,0
15764419,Female,1,17000,0
15591915,Female,4,51000,0
15772798,Male,1,108000,0
15792008,Male,1,15000,0
15715541,Female,4,84000,0
15639277,Male,1,20000,0
15798850,Male,2,79000,0
15776348,Female,1,54000,0
15727696,Male,30,135000,1
15793813,Female,1,89000,0
15694395,Female,1,32000,0
15764195,Female,4,44000,0
15744919,Female,1,83000,0
15671655,Female,6,23000,0
15654901,Female,1,58000,0
15649136,Female,1,55000,0
15775562,Female,4,48000,0
15807481,Male,28,79000,0
15642885,Male,5,18000,0
15789109,Female,45,117000,0
15814004,Male,2,20000,0
15673619,Male,1,87000,0
15595135,Female,23,66000,0
15583681,Male,32,120000,1
15605000,Female,1,83000,0
15718071,Male,2,58000,0
15679760,Male,54,19000,0
15654574,Female,23,82000,0
15577178,Female,1,63000,0
15595324,Female,1,68000,0
15756932,Male,4,80000,0
15726358,Female,1,27000,0
15595228,Female,20,23000,0
15782530,Female,64,113000,0
15592877,Male,32,18000,0
15651983,Male,46,112000,1
15746737,Male,18,52000,0
15774179,Female,4,27000,0
15667265,Female,4,87000,0
15655123,Female,26,17000,0
15595917,Male,5,80000,0
15668385,Male,45,42000,0
15709476,Male,4,49000,0
15711218,Male,35,88000,0
15798659,Female,4,62000,0
15663939,Female,45,118000,1
15694946,Male,24,55000,0
15631912,Female,4,85000,0
15768816,Male,5,81000,0
15682268,Male,5,50000,0
15684801,Male,5,81000,0
15636428,Female,30,116000,0
15809823,Male,5,15000,0
15699284,Female,5,28000,0
15786993,Female,45,83000,0
15709441,Female,35,44000,0
15710257,Female,4,25000,0
15582492,Male,5,123000,1
15575694,Male,35,73000,0
